NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;YEAR;REF_YEAR;CITY;FROST_DAYS;ICE_DAYS;SUMMER_DAYS;HEAT_DAYS;SUNSHINE_DURATION;UNIT_SD;RELATIVE_SUNSHINE_DURATION;HEATING_DEGREE_DAYS;UNIT_HDD;MEAN_TEMPERTURE;UNIT_TEMP
AT1;AT13;AT130;90001;0;1992;2017;Wien;52;10;61;26;1939;h;0,45;2917,699987;Kd;11,10000038;°C
AT1;AT13;AT130;90001;0;1993;2017;Wien;87;31;63;15;1976;h;0,46;3098,19995;Kd;10,80000019;°C
AT1;AT13;AT130;90001;0;1994;2017;Wien;43;10;75;28;2053;h;0,48;2763,099974;Kd;11,80000019;°C
AT1;AT13;AT130;90001;0;1995;2017;Wien;74;21;64;15;1868;h;0,44;3025,10006;Kd;10,39999962;°C
AT1;AT13;AT130;90001;0;1996;2017;Wien;97;49;45;6;1803;h;0,42;3477,000049;Kd;8,899999619;°C
AT1;AT13;AT130;90001;0;1997;2017;Wien;70;20;63;3;2049;h;0,48;3168,799948;Kd;10;°C
AT1;AT13;AT130;90001;0;1998;2017;Wien;76;20;65;20;1978;h;0,46;2841,600014;Kd;10,80000019;°C
AT1;AT13;AT130;90001;0;1999;2017;Wien;70;21;58;9;1960;h;0,46;2841,099976;Kd;10,69999981;°C
AT1;AT13;AT130;90001;0;2000;2017;Wien;45;17;71;26;2113;h;0,49;2550,999971;Kd;11,69999981;°C
AT1;AT13;AT130;90001;0;2001;2017;Wien;71;15;66;21;1912;h;0,45;2843,599983;Kd;10,60000038;°C
AT1;AT13;AT130;90001;0;2002;2017;Wien;54;24;77;18;1998;h;0,47;2785,90004;Kd;11,30000019;°C
AT1;AT13;AT130;90001;0;2003;2017;Wien;88;22;102;40;2305;h;0,54;3033,299969;Kd;11;°C
AT1;AT13;AT130;90001;0;2004;2017;Wien;74;20;54;9;1939;h;0,45;2846,500042;Kd;10,39999962;°C
AT1;AT13;AT130;90001;0;2005;2017;Wien;82;25;65;12;2107;h;0,49;3071,100044;Kd;10,19999981;°C
AT1;AT13;AT130;90001;0;2006;2017;Wien;79;23;61;22;2228;h;0,52;2855,300013;Kd;10,69999981;°C
AT1;AT13;AT130;90001;0;2007;2017;Wien;40;16;84;22;2203;h;0,52;2657,100014;Kd;11,69999981;°C
AT1;AT13;AT130;90001;0;2008;2017;Wien;47;8;74;8;2038;h;0,48;2688,999989;Kd;11,39999962;°C
AT1;AT13;AT130;90001;0;2009;2017;Wien;57;25;74;14;2032;h;0,48;2821,899938;Kd;11;°C
AT1;AT13;AT130;90001;0;2010;2017;Wien;86;35;56;15;1882;h;0,44;3211,600007;Kd;9,899999619;°C
AT1;AT13;AT130;90001;0;2011;2017;Wien;68;12;77;18;2242;h;0,52;2828,099985;Kd;11,10000038;°C
AT1;AT13;AT130;90001;0;2012;2017;Wien;59;19;89;31;2205;h;0,52;2938,799982;Kd;11,30000019;°C
AT1;AT13;AT130;90001;0;2013;2017;Wien;67;17;68;26;1993;h;0,47;2945,300032;Kd;10,89999962;°C
AT1;AT13;AT130;90001;0;2014;2017;Wien;30;10;60;13;1967;h;0,46;2303,099991;Kd;12;°C
AT1;AT13;AT130;90001;0;2015;2017;Wien;41;2;78;42;2115;h;0,49;2594,3;Kd;12,10000038;°C
AT1;AT13;AT130;90001;0;2016;2017;Wien;51;13;85;20;2069;h;0,48;2784,200016;Kd;11,5;°C
AT1;AT13;AT130;90001;0;2017;2017;Wien;57;21;85;38;2164;h;0,5;2718,1;Kd;11,60000038;°C
